id,product_id,return_date,quantity_returned,reason,created_at,store_id
RET-0000048,PRD-0007,2024-08-29,1,Damaged packaging,2024-08-29T19:14:00,MUM-001
RET-0000049,PRD-0007,2024-09-25,2,Damaged packaging,2024-09-25T13:36:00,MUM-001
RET-0000050,PRD-0007,2024-10-02,1,Quality issue,2024-10-02T10:29:00,MUM-001
RET-0000051,PRD-0007,2024-10-23,2,Damaged packaging,2024-10-23T13:17:00,MUM-001
RET-0000052,PRD-0007,2024-12-05,1,Damaged packaging,2024-12-05T19:57:00,MUM-001
RET-0000053,PRD-0007,2024-12-07,1,Quality issue,2024-12-07T17:50:00,MUM-001
RET-0000054,PRD-0007,2024-12-31,2,Near expiry,2024-12-31T17:06:00,MUM-001
RET-0000055,PRD-0008,2024-01-12,2,Damaged packaging,2024-01-12T19:32:00,MUM-001
RET-0000056,PRD-0008,2024-02-23,3,Wrong product,2024-02-23T14:54:00,MUM-001
RET-0000057,PRD-0008,2024-03-26,2,Near expiry,2024-03-26T09:46:00,MUM-001
RET-0000058,PRD-0008,2024-04-09,1,Wrong product,2024-04-09T10:10:00,MUM-001
RET-0000059,PRD-0008,2024-04-26,3,Wrong product,2024-04-26T11:06:00,MUM-001
RET-0000060,PRD-0008,2024-06-13,2,Damaged packaging,2024-06-13T15:56:00,MUM-001
RET-0000061,PRD-0008,2024-06-21,2,Quality issue,2024-06-21T16:04:00,MUM-001
RET-0000062,PRD-0008,2024-07-05,1,Wrong product,2024-07-05T19:45:00,MUM-001
RET-0000063,PRD-0008,2024-12-19,3,Wrong product,2024-12-19T10:32:00,MUM-001
RET-0000064,PRD-0008,2024-12-31,3,Wrong product,2024-12-31T18:34:00,MUM-001
RET-0000065,PRD-0009,2024-02-09,2,Quality issue,2024-02-09T11:33:00,MUM-001
RET-0000066,PRD-0009,2024-08-18,3,Wrong product,2024-08-18T12:14:00,MUM-001
RET-0000067,PRD-0009,2024-08-27,3,Quality issue,2024-08-27T12:35:00,MUM-001
RET-0000068,PRD-0009,2024-10-25,1,Quality issue,2024-10-25T18:43:00,MUM-001
RET-0000069,PRD-0009,2024-11-21,1,Near expiry,2024-11-21T12:27:00,MUM-001
RET-0000070,PRD-0010,2024-01-18,1,Damaged packaging,2024-01-18T14:31:00,MUM-001
RET-0000071,PRD-0010,2024-03-12,3,Quality issue,2024-03-12T13:04:00,MUM-001
RET-0000072,PRD-0010,2024-03-23,3,Near expiry,2024-03-23T18:15:00,MUM-001
RET-0000073,PRD-0010,2024-05-04,3,Quality issue,2024-05-04T19:43:00,MUM-001
RET-0000074,PRD-0010,2024-05-10,3,Near expiry,2024-05-10T14:03:00,MUM-001
RET-0000075,PRD-0010,2024-06-08,3,Damaged packaging,2024-06-08T09:27:00,MUM-001
RET-0000076,PRD-0010,2024-06-17,2,Quality issue,2024-06-17T18:32:00,MUM-001
RET-0000077,PRD-0010,2024-07-04,2,Near expiry,2024-07-04T16:23:00,MUM-001
RET-0000078,PRD-0010,2024-08-24,3,Wrong product,2024-08-24T16:55:00,MUM-001
RET-0000079,PRD-0010,2024-08-30,1,Wrong product,2024-08-30T16:49:00,MUM-001
RET-0000080,PRD-0010,2024-10-21,2,Quality issue,2024-10-21T10:27:00,MUM-001
RET-0000081,PRD-0011,2024-05-12,1,Wrong product,2024-05-12T19:02:00,MUM-001
RET-0000082,PRD-0011,2024-06-02,2,Wrong product,2024-06-02T12:57:00,MUM-001
RET-0000083,PRD-0011,2024-09-16,3,Wrong product,2024-09-16T10:43:00,MUM-001
RET-0000084,PRD-0011,2024-10-23,1,Quality issue,2024-10-23T16:42:00,MUM-001
RET-0000085,PRD-0011,2024-10-27,1,Damaged packaging,2024-10-27T17:16:00,MUM-001
RET-0000086,PRD-0011,2024-12-13,3,Damaged packaging,2024-12-13T20:10:00,MUM-001
RET-0000087,PRD-0011,2024-12-28,3,Wrong product,2024-12-28T16:58:00,MUM-001
RET-0000088,PRD-0012,2024-01-13,3,Damaged packaging,2024-01-13T11:49:00,MUM-001
RET-0000089,PRD-0012,2024-04-21,2,Wrong product,2024-04-21T20:12:00,MUM-001
RET-0000090,PRD-0012,2024-05-16,1,Wrong product,2024-05-16T20:59:00,MUM-001
RET-0000091,PRD-0012,2024-06-09,3,Damaged packaging,2024-06-09T18:45:00,MUM-001
RET-0000092,PRD-0012,2024-06-20,1,Quality issue,2024-06-20T13:03:00,MUM-001
RET-0000093,PRD-0012,2024-09-14,2,Damaged packaging,2024-09-14T19:21:00,MUM-001
RET-0000094,PRD-0012,2024-12-08,3,Quality issue,2024-12-08T19:11:00,MUM-001
RET-0000095,PRD-0013,2024-01-17,1,Damaged packaging,2024-01-17T20:21:00,MUM-001
RET-0000096,PRD-0013,2024-01-23,1,Wrong product,2024-01-23T13:26:00,MUM-001
RET-0000097,PRD-0013,2024-02-03,1,Damaged packaging,2024-02-03T18:32:00,MUM-001
RET-0000098,PRD-0013,2024-04-09,2,Damaged packaging,2024-04-09T13:09:00,MUM-001
RET-0000099,PRD-0013,2024-06-02,2,Wrong product,2024-06-02T14:43:00,MUM-001
RET-0000100,PRD-0013,2024-10-19,1,Near expiry,2024-10-19T09:31:00,MUM-001
RET-0000101,PRD-0013,2024-10-25,1,Near expiry,2024-10-25T18:41:00,MUM-001
RET-0000102,PRD-0013,2024-10-28,3,Wrong product,2024-10-28T15:22:00,MUM-001
RET-0000103,PRD-0014,2024-01-25,3,Near expiry,2024-01-25T14:00:00,MUM-001
RET-0000104,PRD-0014,2024-02-26,1,Damaged packaging,2024-02-26T15:10:00,MUM-001
RET-0000105,PRD-0014,2024-05-23,3,Near expiry,2024-05-23T09:23:00,MUM-001
RET-0000106,PRD-0014,2024-07-02,1,Near expiry,2024-07-02T15:58:00,MUM-001
RET-0000107,PRD-0014,2024-07-23,1,Wrong product,2024-07-23T13:13:00,MUM-001
RET-0000108,PRD-0014,2024-08-22,3,Near expiry,2024-08-22T17:05:00,MUM-001
RET-0000109,PRD-0014,2024-09-17,3,Near expiry,2024-09-17T09:44:00,MUM-001
RET-0000110,PRD-0014,2024-10-22,3,Quality issue,2024-10-22T12:09:00,MUM-001
RET-0000111,PRD-0014,2024-10-27,1,Quality issue,2024-10-27T20:14:00,MUM-001
RET-0000112,PRD-0015,2024-02-06,1,Damaged packaging,2024-02-06T15:59:00,MUM-001
RET-0000113,PRD-0015,2024-04-08,3,Near expiry,2024-04-08T10:27:00,MUM-001
RET-0000114,PRD-0015,2024-05-01,2,Quality issue,2024-05-01T14:40:00,MUM-001
RET-0000115,PRD-0015,2024-08-12,1,Quality issue,2024-08-12T20:02:00,MUM-001
RET-0000116,PRD-0015,2024-10-30,1,Damaged packaging,2024-10-30T11:03:00,MUM-001
RET-0000117,PRD-0015,2024-11-04,3,Damaged packaging,2024-11-04T18:54:00,MUM-001
RET-0000118,PRD-0015,2024-11-11,2,Quality issue,2024-11-11T15:03:00,MUM-001
RET-0000119,PRD-0016,2024-05-12,2,Near expiry,2024-05-12T09:58:00,MUM-001
RET-0000120,PRD-0016,2024-05-17,1,Near expiry,2024-05-17T14:10:00,MUM-001
RET-0000121,PRD-0016,2024-09-17,3,Near expiry,2024-09-17T11:15:00,MUM-001
RET-0000122,PRD-0016,2024-10-27,3,Quality issue,2024-10-27T15:13:00,MUM-001
RET-0000123,PRD-0017,2024-02-03,3,Near expiry,2024-02-03T12:36:00,MUM-001
RET-0000124,PRD-0017,2024-02-17,1,Wrong product,2024-02-17T10:05:00,MUM-001
RET-0000125,PRD-0017,2024-05-09,2,Wrong product,2024-05-09T17:31:00,MUM-001
RET-0000126,PRD-0017,2024-07-18,2,Wrong product,2024-07-18T16:54:00,MUM-001
RET-0000127,PRD-0017,2024-08-28,1,Wrong product,2024-08-28T13:26:00,MUM-001
RET-0000128,PRD-0017,2024-09-18,2,Wrong product,2024-09-18T14:07:00,MUM-001
RET-0000129,PRD-0017,2024-09-29,1,Damaged packaging,2024-09-29T16:43:00,MUM-001
RET-0000130,PRD-0017,2024-12-06,3,Near expiry,2024-12-06T15:29:00,MUM-001
RET-0000131,PRD-0018,2024-02-09,2,Wrong product,2024-02-09T13:11:00,MUM-001
RET-0000132,PRD-0018,2024-04-21,1,Quality issue,2024-04-21T19:22:00,MUM-001
RET-0000133,PRD-0018,2024-05-01,2,Near expiry,2024-05-01T10:14:00,MUM-001
RET-0000134,PRD-0018,2024-06-06,1,Wrong product,2024-06-06T11:04:00,MUM-001
RET-0000135,PRD-0018,2024-06-30,3,Damaged packaging,2024-06-30T17:43:00,MUM-001
RET-0000136,PRD-0018,2024-06-25,2,Quality issue,2024-06-25T13:08:00,MUM-001
RET-0000137,PRD-0018,2024-08-05,2,Near expiry,2024-08-05T11:07:00,MUM-001
RET-0000138,PRD-0018,2024-11-01,2,Near expiry,2024-11-01T09:16:00,MUM-001
RET-0000139,PRD-0018,2024-12-31,2,Near expiry,2024-12-31T19:26:00,MUM-001
RET-0000140,PRD-0019,2024-03-16,3,Near expiry,2024-03-16T09:30:00,MUM-001
RET-0000141,PRD-0019,2024-04-28,1,Near expiry,2024-04-28T16:28:00,MUM-001
RET-0000142,PRD-0019,2024-05-24,3,Quality issue,2024-05-24T17:12:00,MUM-001
RET-0000143,PRD-0019,2024-05-24,3,Damaged packaging,2024-05-24T20:18:00,MUM-001
RET-0000144,PRD-0019,2024-08-29,1,Quality issue,2024-08-29T10:31:00,MUM-001
RET-0000145,PRD-0019,2024-09-23,3,Quality issue,2024-09-23T16:22:00,MUM-001
RET-0000146,PRD-0019,2024-09-28,2,Wrong product,2024-09-28T18:32:00,MUM-001
RET-0000147,PRD-0019,2024-12-18,2,Quality issue,2024-12-18T09:46:00,MUM-001
RET-0000148,PRD-0020,2024-03-18,2,Quality issue,2024-03-18T11:41:00,MUM-001
RET-0000149,PRD-0020,2024-04-06,2,Near expiry,2024-04-06T09:23:00,MUM-001
RET-0000150,PRD-0020,2024-05-07,1,Wrong product,2024-05-07T13:43:00,MUM-001
RET-0000151,PRD-0020,2024-05-25,3,Wrong product,2024-05-25T19:46:00,MUM-001
RET-0000152,PRD-0020,2024-09-22,1,Near expiry,2024-09-22T18:33:00,MUM-001
RET-0000153,PRD-0020,2024-12-01,3,Wrong product,2024-12-01T16:57:00,MUM-001
RET-0000154,PRD-0020,2024-12-02,2,Near expiry,2024-12-02T18:53:00,MUM-001
RET-0000155,PRD-0021,2024-02-01,3,Expired product,2024-02-01T18:40:00,MUM-001
RET-0000156,PRD-0021,2024-03-09,1,Spoiled,2024-03-09T20:23:00,MUM-001
RET-0000157,PRD-0021,2024-03-26,3,Damaged packaging,2024-03-26T18:06:00,MUM-001
RET-0000158,PRD-0021,2024-03-30,1,Wrong variant,2024-03-30T16:52:00,MUM-001
RET-0000159,PRD-0021,2024-04-22,1,Spoiled,2024-04-22T17:00:00,MUM-001
RET-0000160,PRD-0021,2024-05-23,2,Damaged packaging,2024-05-23T17:27:00,MUM-001
RET-0000161,PRD-0021,2024-07-20,3,Damaged packaging,2024-07-20T12:24:00,MUM-001
RET-0000162,PRD-0021,2024-07-26,2,Damaged packaging,2024-07-26T12:47:00,MUM-001
RET-0000163,PRD-0021,2024-07-26,1,Wrong variant,2024-07-26T19:10:00,MUM-001
RET-0000164,PRD-0021,2024-08-23,1,Expired product,2024-08-23T10:46:00,MUM-001
RET-0000165,PRD-0021,2024-09-20,2,Wrong variant,2024-09-20T13:24:00,MUM-001
RET-0000166,PRD-0021,2024-09-17,3,Damaged packaging,2024-09-17T16:22:00,MUM-001
RET-0000167,PRD-0021,2024-11-18,1,Wrong variant,2024-11-18T10:40:00,MUM-001
RET-0000168,PRD-0021,2024-11-18,1,Spoiled,2024-11-18T10:22:00,MUM-001
RET-0000169,PRD-0021,2024-11-28,2,Wrong variant,2024-11-28T19:10:00,MUM-001
RET-0000170,PRD-0021,2024-12-12,3,Damaged packaging,2024-12-12T18:43:00,MUM-001
RET-0000171,PRD-0022,2024-01-09,3,Spoiled,2024-01-09T19:12:00,MUM-001
RET-0000172,PRD-0022,2024-02-15,2,Spoiled,2024-02-15T12:23:00,MUM-001
RET-0000173,PRD-0022,2024-04-10,1,Damaged packaging,2024-04-10T17:23:00,MUM-001
RET-0000174,PRD-0022,2024-06-16,1,Spoiled,2024-06-16T16:10:00,MUM-001
RET-0000175,PRD-0022,2024-11-11,2,Spoiled,2024-11-11T14:49:00,MUM-001
RET-0000176,PRD-0023,2024-10-19,3,Expired product,2024-10-19T17:54:00,MUM-001
RET-0000177,PRD-0023,2024-10-18,2,Damaged packaging,2024-10-18T13:56:00,MUM-001
RET-0000178,PRD-0023,2024-12-08,2,Expired product,2024-12-08T17:04:00,MUM-001
RET-0000179,PRD-0024,2024-01-26,2,Expired product,2024-01-26T20:31:00,MUM-001
RET-0000180,PRD-0024,2024-02-12,1,Damaged packaging,2024-02-12T14:38:00,MUM-001
RET-0000181,PRD-0024,2024-03-01,1,Damaged packaging,2024-03-01T14:32:00,MUM-001
RET-0000182,PRD-0024,2024-04-28,1,Damaged packaging,2024-04-28T14:32:00,MUM-001
RET-0000183,PRD-0024,2024-06-26,2,Expired product,2024-06-26T10:18:00,MUM-001
RET-0000184,PRD-0024,2024-07-22,1,Expired product,2024-07-22T14:17:00,MUM-001
RET-0000185,PRD-0024,2024-07-23,2,Damaged packaging,2024-07-23T14:08:00,MUM-001
RET-0000186,PRD-0024,2024-07-25,1,Damaged packaging,2024-07-25T19:25:00,MUM-001
RET-0000187,PRD-0024,2024-08-13,1,Wrong variant,2024-08-13T10:22:00,MUM-001
RET-0000188,PRD-0024,2024-10-26,3,Damaged packaging,2024-10-26T19:20:00,MUM-001
RET-0000189,PRD-0024,2024-12-31,3,Damaged packaging,2024-12-31T13:45:00,MUM-001
RET-0000190,PRD-0025,2024-04-17,3,Wrong variant,2024-04-17T18:46:00,MUM-001
RET-0000191,PRD-0025,2024-04-27,1,Expired product,2024-04-27T13:49:00,MUM-001
RET-0000192,PRD-0025,2024-05-05,2,Spoiled,2024-05-05T13:02:00,MUM-001
RET-0000193,PRD-0025,2024-05-15,2,Spoiled,2024-05-15T09:50:00,MUM-001
RET-0000194,PRD-0025,2024-05-19,1,Expired product,2024-05-19T19:50:00,MUM-001
RET-0000195,PRD-0025,2024-06-11,3,Expired product,2024-06-11T16:32:00,MUM-001
RET-0000196,PRD-0025,2024-07-23,1,Expired product,2024-07-23T12:30:00,MUM-001
RET-0000197,PRD-0025,2024-08-11,2,Damaged packaging,2024-08-11T11:05:00,MUM-001
RET-0000198,PRD-0025,2024-08-07,1,Wrong variant,2024-08-07T11:13:00,MUM-001
RET-0000199,PRD-0025,2024-08-24,2,Expired product,2024-08-24T14:07:00,MUM-001
RET-0000200,PRD-0025,2024-10-14,1,Wrong variant,2024-10-14T13:51:00,MUM-001
RET-0000201,PRD-0025,2024-11-30,1,Spoiled,2024-11-30T18:50:00,MUM-001
RET-0000202,PRD-0026,2024-02-08,2,Expired product,2024-02-08T14:05:00,MUM-001
RET-0000203,PRD-0026,2024-02-18,2,Spoiled,2024-02-18T17:22:00,MUM-001
RET-0000204,PRD-0026,2024-03-22,3,Wrong variant,2024-03-22T20:54:00,MUM-001
RET-0000205,PRD-0026,2024-03-31,3,Expired product,2024-03-31T18:51:00,MUM-001
RET-0000206,PRD-0026,2024-04-10,1,Wrong variant,2024-04-10T15:50:00,MUM-001
RET-0000207,PRD-0026,2024-04-13,2,Damaged packaging,2024-04-13T16:11:00,MUM-001
RET-0000208,PRD-0026,2024-04-15,3,Wrong variant,2024-04-15T09:48:00,MUM-001
RET-0000209,PRD-0026,2024-04-29,3,Wrong variant,2024-04-29T15:59:00,MUM-001
RET-0000210,PRD-0026,2024-05-17,2,Expired product,2024-05-17T13:16:00,MUM-001
RET-0000211,PRD-0026,2024-05-15,2,Spoiled,2024-05-15T16:57:00,MUM-001
RET-0000212,PRD-0026,2024-06-29,2,Spoiled,2024-06-29T10:19:00,MUM-001
RET-0000213,PRD-0026,2024-09-17,3,Wrong variant,2024-09-17T10:56:00,MUM-001
RET-0000214,PRD-0026,2024-12-04,2,Expired product,2024-12-04T16:47:00,MUM-001
RET-0000215,PRD-0026,2024-12-28,1,Expired product,2024-12-28T18:57:00,MUM-001
RET-0000216,PRD-0027,2024-04-01,1,Damaged packaging,2024-04-01T12:26:00,MUM-001
RET-0000217,PRD-0027,2024-04-15,1,Expired product,2024-04-15T20:25:00,MUM-001
RET-0000218,PRD-0027,2024-06-02,1,Spoiled,2024-06-02T14:11:00,MUM-001
RET-0000219,PRD-0027,2024-07-21,3,Wrong variant,2024-07-21T18:07:00,MUM-001
RET-0000220,PRD-0027,2024-07-28,2,Damaged packaging,2024-07-28T16:50:00,MUM-001
RET-0000221,PRD-0027,2024-07-24,3,Spoiled,2024-07-24T13:24:00,MUM-001
RET-0000222,PRD-0027,2024-09-04,2,Spoiled,2024-09-04T10:34:00,MUM-001
RET-0000223,PRD-0027,2024-11-17,3,Spoiled,2024-11-17T18:46:00,MUM-001
RET-0000224,PRD-0027,2024-11-21,2,Wrong variant,2024-11-21T20:17:00,MUM-001
RET-0000225,PRD-0027,2024-12-26,3,Expired product,2024-12-26T19:52:00,MUM-001
RET-0000226,PRD-0028,2024-02-18,1,Leaking bottle,2024-02-18T09:52:00,MUM-001
RET-0000227,PRD-0028,2024-03-18,2,Leaking bottle,2024-03-18T10:26:00,MUM-001
RET-0000228,PRD-0028,2024-04-19,1,Wrong flavour,2024-04-19T13:28:00,MUM-001
RET-0000229,PRD-0028,2024-07-06,1,Damaged packaging,2024-07-06T14:53:00,MUM-001
RET-0000230,PRD-0028,2024-10-16,2,Wrong flavour,2024-10-16T14:40:00,MUM-001
RET-0000231,PRD-0029,2024-03-30,3,Wrong flavour,2024-03-30T20:18:00,MUM-001
RET-0000232,PRD-0029,2024-12-30,1,Leaking bottle,2024-12-30T10:26:00,MUM-001
RET-0000233,PRD-0030,2024-03-04,2,Wrong flavour,2024-03-04T15:00:00,MUM-001
RET-0000234,PRD-0030,2024-03-30,3,Leaking bottle,2024-03-30T17:45:00,MUM-001
RET-0000235,PRD-0030,2024-04-15,2,Damaged packaging,2024-04-15T09:35:00,MUM-001
RET-0000236,PRD-0030,2024-05-03,1,Wrong flavour,2024-05-03T18:38:00,MUM-001
RET-0000237,PRD-0030,2024-08-11,3,Wrong flavour,2024-08-11T18:51:00,MUM-001
RET-0000238,PRD-0030,2024-09-03,2,Damaged packaging,2024-09-03T16:09:00,MUM-001
RET-0000239,PRD-0030,2024-11-25,1,Damaged packaging,2024-11-25T10:18:00,MUM-001
RET-0000240,PRD-0030,2024-12-12,2,Leaking bottle,2024-12-12T12:47:00,MUM-001
RET-0000241,PRD-0031,2024-01-09,2,Damaged packaging,2024-01-09T16:43:00,MUM-001
RET-0000242,PRD-0031,2024-07-06,3,Damaged packaging,2024-07-06T20:59:00,MUM-001
RET-0000243,PRD-0031,2024-09-25,3,Leaking bottle,2024-09-25T15:55:00,MUM-001
RET-0000244,PRD-0031,2024-10-04,1,Damaged packaging,2024-10-04T12:18:00,MUM-001
RET-0000245,PRD-0032,2024-07-28,1,Damaged packaging,2024-07-28T09:01:00,MUM-001
RET-0000246,PRD-0032,2024-11-04,1,Wrong flavour,2024-11-04T12:34:00,MUM-001
RET-0000247,PRD-0032,2024-10-28,2,Wrong flavour,2024-10-28T12:43:00,MUM-001
RET-0000248,PRD-0033,2024-01-17,3,Leaking bottle,2024-01-17T18:46:00,MUM-001
RET-0000249,PRD-0033,2024-04-12,3,Damaged packaging,2024-04-12T12:12:00,MUM-001
RET-0000250,PRD-0033,2024-05-08,2,Wrong flavour,2024-05-08T10:10:00,MUM-001
RET-0000251,PRD-0033,2024-07-21,2,Damaged packaging,2024-07-21T19:07:00,MUM-001
RET-0000252,PRD-0033,2024-07-27,3,Wrong flavour,2024-07-27T09:51:00,MUM-001
RET-0000253,PRD-0034,2024-01-20,3,Leaking bottle,2024-01-20T10:47:00,MUM-001
RET-0000254,PRD-0034,2024-04-22,2,Leaking bottle,2024-04-22T13:42:00,MUM-001
RET-0000255,PRD-0034,2024-10-20,1,Wrong flavour,2024-10-20T09:33:00,MUM-001
RET-0000256,PRD-0035,2024-01-20,2,Wrong quantity,2024-01-20T09:13:00,MUM-001
RET-0000257,PRD-0035,2024-02-17,2,Spoiled on arrival,2024-02-17T14:41:00,MUM-001
RET-0000258,PRD-0035,2024-02-25,2,Damaged,2024-02-25T12:51:00,MUM-001
RET-0000259,PRD-0035,2024-03-13,2,Over-ripened,2024-03-13T18:31:00,MUM-001
RET-0000260,PRD-0035,2024-03-22,1,Spoiled on arrival,2024-03-22T09:53:00,MUM-001
RET-0000261,PRD-0035,2024-04-17,3,Damaged,2024-04-17T19:12:00,MUM-001
RET-0000262,PRD-0035,2024-04-29,1,Spoiled on arrival,2024-04-29T09:33:00,MUM-001
RET-0000263,PRD-0035,2024-05-17,3,Damaged,2024-05-17T13:09:00,MUM-001
RET-0000264,PRD-0035,2024-05-30,3,Spoiled on arrival,2024-05-30T11:29:00,MUM-001
RET-0000265,PRD-0035,2024-07-13,3,Wrong quantity,2024-07-13T13:09:00,MUM-001
RET-0000266,PRD-0035,2024-08-11,1,Spoiled on arrival,2024-08-11T12:20:00,MUM-001
RET-0000267,PRD-0035,2024-09-03,2,Wrong quantity,2024-09-03T16:15:00,MUM-001
RET-0000268,PRD-0035,2024-09-03,2,Wrong quantity,2024-09-03T11:13:00,MUM-001
RET-0000269,PRD-0035,2024-10-28,1,Damaged,2024-10-28T09:41:00,MUM-001
RET-0000270,PRD-0035,2024-11-01,2,Damaged,2024-11-01T17:26:00,MUM-001
RET-0000271,PRD-0035,2024-11-04,2,Wrong quantity,2024-11-04T09:59:00,MUM-001
RET-0000272,PRD-0035,2024-12-04,2,Spoiled on arrival,2024-12-04T11:48:00,MUM-001
RET-0000273,PRD-0035,2024-12-30,2,Damaged,2024-12-30T10:14:00,MUM-001
RET-0000274,PRD-0036,2024-01-12,2,Wrong quantity,2024-01-12T10:39:00,MUM-001
RET-0000275,PRD-0036,2024-01-17,3,Over-ripened,2024-01-17T17:08:00,MUM-001
RET-0000276,PRD-0036,2024-02-01,1,Wrong quantity,2024-02-01T14:35:00,MUM-001
RET-0000277,PRD-0036,2024-02-24,3,Damaged,2024-02-24T17:24:00,MUM-001
RET-0000278,PRD-0036,2024-03-27,3,Damaged,2024-03-27T10:55:00,MUM-001
RET-0000279,PRD-0036,2024-05-04,2,Wrong quantity,2024-05-04T20:47:00,MUM-001
RET-0000280,PRD-0036,2024-05-08,2,Damaged,2024-05-08T18:38:00,MUM-001
RET-0000281,PRD-0036,2024-05-15,2,Spoiled on arrival,2024-05-15T12:22:00,MUM-001
RET-0000282,PRD-0036,2024-05-20,1,Damaged,2024-05-20T19:56:00,MUM-001
RET-0000283,PRD-0036,2024-05-27,1,Over-ripened,2024-05-27T18:04:00,MUM-001
RET-0000284,PRD-0036,2024-06-14,3,Spoiled on arrival,2024-06-14T17:04:00,MUM-001
RET-0000285,PRD-0036,2024-06-23,2,Damaged,2024-06-23T18:33:00,MUM-001
RET-0000286,PRD-0036,2024-07-03,1,Wrong quantity,2024-07-03T18:34:00,MUM-001
